SCHOOL_YEAR,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,grad_rate
2018-19,Public school,No,3.0,Lafayette,1295,40.0,High School,Darlington Community,Darlington High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,63,57,0.9047619047619048
2018-19,Public school,No,2.0,Dane,1316,40.0,High School,De Forest Area,De Forest High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,270,248,0.9185185185185185
2018-19,Public school,No,7.0,Brown,1414,20.0,High School,De Pere,De Pere High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,323,311,0.9628482972136223
2018-19,Public school,No,4.0,Vernon,1421,40.0,High School,De Soto Area,De Soto High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,40,39,0.975
2018-19,Public school,No,2.0,Dane,1309,40.0,High School,Deerfield Community,Deerfield High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,50,45,0.9
2018-19,Public school,No,2.0,Walworth,1380,20.0,High School,Delavan-Darien,Delavan-Darien High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,189,181,0.9576719576719577
2018-19,Public school,No,7.0,Brown,1407,80.0,High School,Denmark,Denmark High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,124,115,0.9274193548387096
2018-19,Public school,No,6.0,Dodge,2744,22.0,High School,Dodgeland,Dodgeland High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,64,60,0.9375
2018-19,Public school,No,3.0,Iowa,1428,40.0,High School,Dodgeville,Dodgeville High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,107,103,0.9626168224299065
2018-19,Public school,No,12.0,Bayfield,1491,40.0,High School,Drummond Area,Drummond High,2019,Completed - Regular High School Diploma,All Students,All Students,4-Year rate,27,27,1.0
