SCHOOL_YEAR_x,AGENCY_TYPE,CHARTER_IND,CESA,COUNTY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,DISTRICT_NAME,HIGH_SCHOOL_NAME,COHORT,COMPLETION_STATUS,GROUP_BY,GROUP_BY_VALUE,TIMEFRAME,COHORT_COUNT,STUDENT_COUNT,MIDDLE_SCHOOL_NAME,SCHOOL_YEAR_y,TEST_SUBJECT,Composite_Score,FORWARD_YEAR,EXPECTED_COHORT
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Longfellow Middle,2015-16,Mathematics,1.626865671641791,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Longfellow Middle,2015-16,Science,1.9104477611940298,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Econ Disadv,4-Year rate,89,69,Longfellow Middle,2015-16,Social Studies,1.9850746268656716,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,La Crosse Design Institute,2015-16,ELA,1.875,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,La Crosse Design Institute,2015-16,Mathematics,2.125,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,La Crosse Design Institute,2015-16,Science,2.125,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,La Crosse Design Institute,2015-16,Social Studies,1.875,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Lincoln Middle,2015-16,ELA,2.7291666666666665,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Lincoln Middle,2015-16,Mathematics,2.625,2016.0,2020.0
2019-20,Public school,No,4.0,La Crosse,2849,20.0,High School,La Crosse,Central High,2020,Completed - Regular High School Diploma,Economic Status,Not Econ Disadv,4-Year rate,158,148,Lincoln Middle,2015-16,Science,2.9583333333333335,2016.0,2020.0
